POBLACION,CVEGEO
14,"1901900010492014"
300,"1901900010492003"
0,
60,"1901900010401022"
186,"1901900010401005"
0,
32,190190001051A006
0,
45,"1901900010083023"
54,"1901900010079042"
47,"1901900010079026"
56,"1901900010083015"
61,"1901900010223011"
12,"1901900010172016"
186,"1901900010079038"
22,"1901900010172008"
44,"1901900010115021"
27,"1901900010115022"
14,"1901900010115023"
22,190190001012A020
26,190190001037A021
550,"1901900010191007"
63,"1901900010492033"
0,
104,"1901900010261060"
21,"1901900010261020"
18,"1901900010261021"
88,"1901900010079002"
0,"1901900010257011"
140,"1901900010079005"
51,"1901900010100016"
56,"1901900010100003"
117,"1901900010115013"
39,"1901900010420005"
12,"1901900010172013"
48,"1901900010083035"
74,"1901900010350005"
100,"1901900010350004"
63,"1901900010401032"
96,"1901900010223003"
160,"1901900010100012"
0,"1901900010280005"
0,"1901900010242022"
32,"1901900010242008"
20,"1901900010083016"
27,"1901900010242012"
55,"1901900010079011"
103,"1901900010401034"
57,"1901900010401033"
108,"1901900010401031"
0,"1901900010365025"
0,"1901900010365046"
98,"1901900010365050"
0,"1901900010365039"
0,"1901900010365038"
0,"1901900010365036"
0,"1901900010079041"
49,"1901900010083024"
6,"1901900010242048"
43,"1901900010261026"
27,"1901900010261008"
0,"1901900010261059"
0,
33,"1901900010261035"
0,
97,"1901900010257018"
141,"1901900010435038"
0,"1901900010365044"
86,190190001044A024
90,190190001044A022
63,190190001044A020
18,190190001044A018
67,"1901900010100007"
0,"1901900010261019"
74,"1901900010100005"
0,"1901900010469012"
81,"1901900010100008"
0,"1901900010079045"
0,"1901900010079048"
23,"1901900010238009"
0,"1901900010399023"
44,"1901900010242016"
44,"1901900010242007"
12,"1901900010083022"
22,"1901900010172017"
45,"1901900010079034"
52,"1901900010079020"
75,"1901900010083029"
37,"1901900010261030"
55,"1901900010079027"
74,"1901900010187001"
122,"1901900010558001"
55,"1901900010098020"
52,"1901900010098023"
69,"1901900010280012"
17,"1901900010223035"
28,"1901900010083043"
123,"1901900010242020"
0,
57,"1901900010172018"
0,"1901900010079015"
52,"1901900010172005"
38,"1901900010134037"
80,"1901900010505033"
0,"1901900010064025"
36,"1901900010172007"
51,"1901900010172014"
51,"1901900010172019"
21,"1901900010098013"
27,"1901900010384004"
29,"1901900010384005"
28,"1901900010100006"
59,"1901900010100001"
52,"1901900010384007"
37,"1901900010083033"
16,"1901900010420006"
36,"1901900010083026"
48,"1901900010083012"
35,"1901900010420010"
53,"1901900010100025"
11,"1901900010257031"
0,"1901900010219030"
44,"1901900010242057"
71,190190001051A018
70,"1901900010064001"
9,"1901900010172022"
44,"1901900010064022"
12,"1901900010223023"
102,"1901900010064009"
0,
0,"1901900010079001"
165,"1901900010079028"
0,"1901900010257004"
0,"1901900010257017"
33,"1901900010257032"
6,"1901900010261046"
14,"1901900010257010"
48,"1901900010257021"
0,"1901900010257006"
0,
65,"1901900010257016"
187,"1901900010399029"
73,"1901900010399030"
0,"1901900010399032"
47,"1901900010399040"
5,"1901900010257029"
0,190190001051A002
6,"1901900010172012"
0,"1901900010083014"
226,"1901900010079004"
79,"1901900010079044"
14,"1901900010153028"
64,"1901900010153015"
56,"1901900010100010"
63,"1901900010064044"
84,"1901900010064019"
58,"1901900010242028"
13,"1901900010223044"
63,190190001051A011
7,"1901900010083006"
28,"1901900010242001"
76,"1901900010242023"
118,"1901900010257003"
84,"1901900010100019"
21,"1901900010384006"
12,"1901900010064003"
19,"1901900010064002"
83,"1901900010100011"
47,"1901900010223026"
109,"1901900010242030"
117,"1901900010079025"
22,"1901900010558012"
72,"1901900010172021"
64,"1901900010223027"
51,190190001051A022
93,"1901900010558045"
88,"1901900010115015"
44,"1901900010115008"
106,"1901900010115007"
100,"1901900010115006"
0,"1901900010365052"
0,"1901900010365048"
0,
0,"1901900010064015"
11,"1901900010242040"
77,"1901900010064029"
37,"1901900010100020"
103,"1901900010100017"
67,190190001044A027
17,"1901900010064030"
0,"1901900010261051"
52,"1901900010172004"
92,"1901900010079021"
18,"1901900010384011"
28,"1901900010098012"
54,"1901900010384003"
43,"1901900010384009"
61,190190001044A025
27,"1901900010384010"
106,190190001044A029
30,"1901900010261040"
25,"1901900010261028"
48,"1901900010098010"
20,"1901900010261029"
0,"1901900010098011"
68,"1901900010473006"
10,"1901900010435022"
0,"1901900010172036"
0,
142,"1901900010350028"
43,"1901900010083019"
65,"1901900010172001"
31,"1901900010223025"
31,"1901900010223037"
163,"1901900010581011"
30,"1901900010172009"
24,"1901900010223036"
90,"1901900010079003"
231,"1901900010435014"
101,190190001044A030
75,190190001044A031
25,"1901900010223012"
19,"1901900010064018"
59,"1901900010172006"
74,"1901900010581013"
90,"1901900010581015"
129,190190001044A009
99,190190001044A012
87,"1901900010064033"
50,"1901900010223022"
38,"1901900010223051"
36,"1901900010172020"
95,"1901900010064038"
39,"1901900010223032"
62,"1901900010083003"
79,"1901900010083002"
28,"1901900010435002"
31,"1901900010064023"
288,"1901900010435035"
19,"1901900010242025"
39,"1901900010083007"
24,"1901900010242019"
0,"1901900010026060"
0,"1901900010064020"
42,"1901900010098029"
8,"1901900010435026"
0,
110,"1901900010435027"
50,"1901900010473004"
42,"1901900010365030"
63,"1901900010365033"
0,
76,"1901900010365031"
9,"1901900010242032"
66,"1901900010420029"
0,"1901900010420007"
40,"1901900010098009"
0,"1901900010365049"
128,"1901900010401019"
0,"1901900010026058"
0,"1901900010026056"
46,"1901900010083031"
129,"1901900010083038"
0,"1901900010172024"
68,"1901900010079031"
93,"1901900010079018"
33,190190001051A012
31,"1901900010172003"
48,"1901900010242009"
34,"1901900010083042"
0,"1901900010401030"
125,"1901900010384013"
0,
159,"1901900010079010"
16,190190001037A026
122,"1901900010280003"
68,"1901900010261031"
172,"1901900010435025"
47,"1901900010098016"
26,"1901900010435004"
53,"1901900010083008"
25,"1901900010223002"
25,"1901900010435028"
106,"1901900010064016"
56,"1901900010238035"
31,"1901900010064035"
41,"1901900010223010"
97,"1901900010581012"
146,"1901900010581017"
65,"1901900010581009"
117,"1901900010581037"
59,"1901900010581018"
81,"1901900010581023"
0,"1901900010115004"
55,"1901900010115003"
0,"1901900010115001"
20,"1901900010115011"
64,"1901900010115018"
107,"1901900010492021"
229,"1901900010492025"
0,"1901900010153043"
0,"1901900010153042"
3,"1901900010149036"
336,"1901900010492017"
93,"1901900010488023"
0,"1901900010488033"
87,"1901900010312002"
182,"1901900010312003"
119,"1901900010312004"
140,"1901900010312005"
39,"1901900010312006"
77,"1901900010312009"
53,"1901900010312011"
217,"1901900010312010"
240,"1901900010312015"
98,"1901900010312019"
100,"1901900010312016"
95,"1901900010312014"
47,"1901900010312013"
154,"1901900010026030"
169,"1901900010026021"
194,"1901900010026022"
45,"1901900010026038"
29,"1901900010026039"
39,"1901900010026040"
0,
0,
2,"1901900010026041"
0,"1901900010026059"
169,"1901900010026009"
0,
198,"1901900010312017"
0,
0,"1901900010026057"
224,"1901900010011040"
140,"1901900010011041"
0,"1901900010011049"
200,"1901900010011042"
30,"1901900010011043"
0,"1901900010011048"
25,"1901900010011044"
53,"1901900010011046"
212,"1901900010011045"
77,"1901900010011047"
151,"1901900010011034"
154,"1901900010011026"
126,"1901900010011035"
102,"1901900010011029"
86,"1901900010011030"
149,"1901900010026020"
156,"1901900010026028"
192,"1901900010026011"
141,"1901900010026019"
157,"1901900010026010"
170,"1901900010026029"
177,"1901900010026001"
0,"1901900010026025"
0,"1901900010026026"
77,"1901900010011031"
149,"1901900010011032"
196,"1901900010011024"
231,"1901900010011017"
203,"1901900010011004"
15,"1901900010011025"
138,"1901900010011018"
194,"1901900010011005"
146,"1901900010011001"
205,"1901900010011002"
