CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,PRO_OCUP_C,PROM_OCUP,OCUPVIVPAR,VPH_TV,VPH_RADIO,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,area
"1901900010011015","19","019","0001","0011","015",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","15","187","90","97","8","4","4","179","86","93","174","82","92","155","73","82","149","71","78","137","64","73","6","4",*,"18","9","9","21","9","12","6",*,"4","12","7","5","25","13","12","49","24","13","11","107.78","38","133","16","53","52","52","51","52","0",*,"0.97","3.6","187","48","33","10","17","44","29","19","6",*,"3","18","0","4539"
"1901900010011002","19","019","0001","0011","002",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","2","204","97","107","9","3","6","195","94","101","189","92","97","172","85","87","159","79","80","153","77","76","11","4","7","12","5","7","20","10","10","13","6","7","6",*,"4","35","16","19","49","31","17","14","110.31","45","135","24","43","42","38","37","42",*,"0","1.07","4.86","204","40","37","14","26","32","25","9",*,"0","5","17","0","4655"
"1901900010543044","19","019","0001","0543","044",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0543","44","44","27","17","6","5",*,"38","22","16","35","19","16","28","18","10","27","17","10","26","16","10","5","3",*,"5",*,"4","4",*,*,*,*,"0",*,*,"0","5","4",*,"15",*,*,*,"62.96","17","25",*,"9","9","5","5","9","0","0","0.75","4.89","44","9","8","9","9","9","9","7","8","0","0","0","0","2935"
"1901900010435028","19","019","0001","0435","028",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0435","28","36","16","20",*,*,*,"34","15","19","33","14","19","30","14","16","29","14","15","27","12","15",*,*,*,*,"0",*,*,"0",*,*,"0",*,*,*,"0","3",*,*,"10","4","3",*,"125","7","28",*,"9","9","6","6","9","0","0","0.62","4","36","9","8","9","9","9","9","9","7","0","0","0","0","1804"
"1901900010187062","19","019","0001","0187","062",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0187","62","155","93","62","6","3","3","149","90","59","145","88","57","137","83","54","133","83","50","125","77","48","6","3","3","6","4",*,"7",*,"6","4","0","4","8","6",*,"16","7","9","59","26","14","12","66.67","22","116","17","56","54","42","40","54",*,*,"0.47","2.87","155","51","33","49","42","54","54","36","37","0","0","0","0","8617"
"1901900010083021","19","019","0001","0083","021",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0083","21","17","11","6","4",*,*,"13","9","4","13","9","4","13","9","4","13","9","4","13","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3",*,"4","6","4",*,"54.55","4","7","6","10","5","6",*,"5","5","0","0.63","3.4","17","5","3","3",*,"5","5","5",*,"0","0","0","0","4945"
"1901900010420034","19","019","0001","0420","034",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0420","34","151","79","72","3",*,*,"148","77","71","146","75","71","142","74","68","138","73","65","137","73","64","3",*,*,"3",*,*,"7",*,"5","4",*,"3",*,"0",*,"22","11","11","41","35","13","22","91.14","13","113","25","45","44","34","33","44",*,"0","0.47","3.43","151","44","39","42","38","44","44","41","38","0","0","0","0","19957"
"1901900010420033","19","019","0001","0420","033",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0420","33","13","8","5","0","0","0","13","8","5","13","8","5","13","8","5","12","7","5","11","6","5","0","0","0","0","0","0",*,*,"0",*,*,"0",*,*,"0",*,*,*,"5","4",*,"3","62.5",*,"9","3","4","4",*,*,"4","0","0","0.5","3.25","13","4","4","4","4","4","4","4","4","0","0","0","0","210767"
"1901900010420032","19","019","0001","0420","032",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0420","32","67","31","36","5","3",*,"62","28","34","61","28","33","55","24","31","52","23","29","49","22","27",*,*,*,"5","3",*,"8","4","4","3",*,*,"3",*,*,*,"0",*,"11","18","7","11","116.13","15","43","9","24","21","15","12","21",*,*,"0.48","3.19","67","21","15","20","18","21","21","18","18","0","0","0","0","9931"
"1901900010420029","19","019","0001","0420","029",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0420","29","58","32","26","0","0","0","58","32","26","58","32","26","52","29","23","50","29","21","46","27","19",*,*,"0","5",*,"3","6",*,"4",*,"0",*,"4",*,*,"10","8",*,"16","13","7","6","81.25","8","41","9","18","18","14","14","18","0","0","0.43","3.22","58","18","12","18","17","18","18","17","14","0","0","0","0","26267"
"1901900010420025","19","019","0001","0420","025",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0420","25","272","131","141","6","5",*,"266","126","140","264","125","139","255","119","136","251","118","133","247","117","130","6","4",*,"5","3",*,"6","3","3","4",*,"3","4",*,"3","16","10","6","88","40","14","26","107.63","21","227","24","135","132","127","124","132","3","0","0.35","2.06","272","131","115","129","57","127","129","122","112",*,"0",*,"0","194242"
"1901900010365038","19","019","0001","0365","038",Urbana,Típica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16109"
"1901900010331047","19","019","0001","0331","047",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0331","47","120","70","50","8","7",*,"112","63","49","111","63","48","97","52","45","89","46","43","86","45","41","4","3",*,"11","8","3","17","12","5","8","6",*,"3",*,*,"18","11","7","31","23","11","12","71.43","31","74","15","27","27","23","23","27","0","0","0.92","4.44","120","26","17","13","18","24","22","10",*,*,*,"4","0","3252"
"1901900010420007","19","019","0001","0420","007",Urbana,Típica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17709"
"1901900010420006","19","019","0001","0420","006",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0420","6","113","63","50","9","4","5","104","59","45","101","57","44","96","53","43","92","52","40","89","50","39","4","3",*,"4","3",*,"7","3","4","4",*,"3","3",*,*,"11","5","6","36","14","6","8","79.37","21","83","9","40","32","33","25","32","8","0","0.57","3.53","113","32","24","32","29","32","32","25","29","0","0","0","0","22874"
"1901900010420004","19","019","0001","0420","004",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0420","4","100","61","39","7","5",*,"93","56","37","90","53","37","80","46","34","80","46","34","78","44","34","4","4","0","9","6","3","4",*,*,"0","0","0",*,*,"0","12","6","6","26","27","15","12","63.93","20","64","16","34","32","31","29","32",*,"0","0.47","3.13","100","31","30","29","27","30","30","25","28","0","0",*,"0","47333"
"1901900010011019","19","019","0001","0011","019",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","19","188","80","108","10","4","6","178","76","102","168","72","96","148","61","87","140","57","83","129","54","75","14","7","7","16","8","8","20","10","10","8","4","4","11","3","8","21","6","15","36","31","13","18","135","48","120","20","38","36","37","35","36",*,"0","1.1","5.22","188","34","24","10","16","34","24","6","6","0",*,"12","0","4151"
"1901900010420002","19","019","0001","0420","002",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0420","2","40","20","20","0","0","0","40","20","20","40","20","20","39","20","19","38","20","18","35","18","17","0","0","0",*,"0",*,*,"0",*,*,"0",*,"3",*,*,"4",*,"3","11","14","7","7","100",*,"26","12","14","14","7","7","14","0","0","0.46","2.86","40","14","12","13","11","14","14","12","10","0","0","0","0","37937"
"1901900010420001","19","019","0001","0420","001",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0420","1","88","44","44",*,*,"0","86","42","44","86","42","44","83","40","43","80","39","41","76","39","37","0","0","0","3",*,*,"4",*,*,"3",*,*,"4","0","4","8","3","5","18","20","9","11","100","8","64","16","29","26","22","19","26","3","0","0.51","3.38","88","26","22","26","24","26","26","20","17","0","0","0","0","270577"
"1901900010401022","19","019","0001","0401","022",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0401","22","61","28","33","3","3","0","58","25","33","55","23","32","47","19","28","45","18","27","45","18","27","4","3",*,"7","3","4","7","3","4",*,*,*,"0","0","0","4",*,*,"12","8","3","5","117.86","16","40","5","15","13","14","12","13",*,"0","0.9","4.69","61","13","6","4","10","10","11",*,*,"0",*,*,"0","1883"
"1901900010401019","19","019","0001","0401","019",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0401","19","162","88","74","13","7","6","149","81","68","142","77","65","130","71","59","128","70","58","120","65","55","11","6","5","8","4","4","8","5","3",*,*,*,"8","5","3","18","11","7","57","15","9","6","84.09","34","118","10","39","38","38","37","38",*,"0","0.67","4.26","162","38","24","27","29","35","34","17","28","0",*,"3","0","9452"
"1901900010401018","19","019","0001","0401","018",Urbana,Edificio-Manzana,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0401","18","125","68","57","4",*,"3","121","67","54","112","62","50","87","51","36","86","50","36","80","45","35","13","7","6","21","9","12","15","8","7",*,*,"0","6","5",*,"9","5","4","43","7","4","3","83.82","39","81","5","37","35","36","34","35",*,"0","0.69","3.57","125","35","27","33","33","35","34","25","31","0","0",*,"0","8854"
