REGION,MANZANA,LOTE,SHAPE_AREA,NOMBRE_COL,CALLE,NIVELES,US_ACT2020,RML
"30","010","014",80.90294110416,GARZA AYALA,,"2",HU,30 010 014
"30","010","013",81.05036031359,GARZA AYALA,J SILLER 162,"2",HU,30 010 013
"30","010","012",79.74518508137,,P SILLER 160 GARZA AYALA,"2",HU,30 010 012
"30","010","011",81.23964112538,,PRISCILIANO SILLER 158 GZA,"2",HU,30 010 011
"30","010","009",79.09331481301,,P SILLER 154,"2",HU,30 010 009
"30","010","010",79.2768073976,,PRISCILIANO SILLER 156,"2",HU,30 010 010
"30","010","008",80.16130298663,CONJ HAB GARZA AYALA,PRISCILIANO SILLER 152,"2",HU,30 010 008
"30","010","007",82.25666313116,LAZARO GARZA AYALA,PRISCILIANO SILLER 150,"2",HU,30 010 007
"30","010","006",80.83924973392,GARZA AYALA,PRISCILIANO SILLER 148,"2",HU,30 010 006
"30","010","005",80.38300674943,GARZA AYALA,PRISCILIANO SILLER 146,"2",HM,30 010 005
"30","010","004",77.55759193204,GARZA AYALA,PRISCILIANO SILLER 144,"2",HU,30 010 004
"30","010","003",82.08269983412,GARZA AYALA,,"2",HU,30 010 003
"30","025","009",130.3740537013,CONJ HAB GARZA AYALA,PRISCILIANO SILLER 116,"2",HU,30 025 009
"30","025","008",123.399401306,,PRISCILIANO SILLER 114 G AY,"2",HU,30 025 008
"30","025","007",137.8456952672,GARZA AYALA,PRISCILIANO SILLER 112,"2",HU,30 025 007
"30","025","006",113.3999060932,GARZA AYALA,PRISCILIANO SILLER 110 G AY,"2",HU,30 025 006
"30","033","012",176.8796744662,VALLE DE VASCONCELOS,JUSTO SIERRA 122,"2",HU,30 033 012
"30","033","013",177.8793356314,VALLE DE VASCONCELOS,JUSTO SIERRA 124,"2",HU,30 033 013
"30","033","014",180.6943740168,VALLE DE VASCONCELOS,JUSTO SIERRA 126,"2",HU,30 033 014
"30","033","015",177.6968616047,VALLE DE VASCONCELOS,JUSTO SIERRA 128,"2",HU,30 033 015
"30","033","016",178.493826731,VALLE DE VASCONCELOS,JUSTO SIERRA 130,"2",HU,30 033 016
"30","033","017",176.8028043609,VALLE DE VASCONCELOS,JUSTO SIERRA 132,"2",HU,30 033 017
"30","033","020",199.8314740608,VALLE DE VASCONCELOS,JUSTO SIERRA 138,"2",HU,30 033 020
"30","033","022",132.8273155692,VALLE DE VASCONCELOS,JUSTO SIERRA 142,"2",HU,30 033 022
"30","029","007",147.0324415251,,,"0",BU,30 029 007
"30","029","006",138.4458755105,,,"2",HU,30 029 006
"30","029","005",133.9153157461,,,"3",HU,30 029 005
"30","029","003",137.8035736061,,,"3",HU,30 029 003
"30","026","014",117.7512925172,VALLE DE VASCONCELOS,PRICILIANO SILLER 326,"2",HU,30 026 014
"30","026","013",122.2552212457,VALLE DE VASCONCELOS,PRISCILIANO SILLER 324,"2",HU,30 026 013
"30","026","012",117.935349467,VALLE DE VASCONCELOS,PRICILIANO SILLER 322,"2",HU,30 026 012
"30","026","011",117.2045777731,VALLE DE VASCONCELOS,PRICILIANO SILLER 320,"2",HU,30 026 011
