REGION,MANZANA,LOTE,SHAPE_Area,RML,NOMBRE_COL,CALLE,NIVELES,US_ACT2016
"28","011","006",355.747942076,28 011 006,COLONIAL LA SIERRA,OLMOS L 6 M 11,"3",HU
"28","011","008",365.901586676,28 011 008,COLONIAL DE LA SIERR,OLMOS 614,"3",HU
"28","011","009",371.944709934,28 011 009,COLONIAL DE LA SIERR,OLMOS L9 M11,"3",HU
"28","009","020",396.106407711,28 009 020,COLONIAL LA SIERRA,OLMOS L20 M9,"0",BU
"28","009","027",126.9100549,28 009 027,,,"0",EA
"01","037","021",711.25909533,01 037 021,,AMAZONAS 406,"1",HU
"01","037","009",781.436659672,01 037 009,DEL VALLE,AMAZONAS 408,"1",HU
"01","134","012",139.304335625,01 134 012,DEL VALLE,RIO TAMESIS Y RIO VOLGA,"1",HU
"01","164","005",89.9470838419,01 164 005,,,"0",HU
"01","164","029",213.97279457,01 164 029,,,"0",HU
"01","135","010",1314.11991273,01 135 010,,RIO VOLGA 470,"1",HU
"01","135","019",145.007173451,01 135 019,,RIO RHIN INT,"1",HU
"01","135","015",1457.87081642,01 135 015,DEL VALLE,RIO VOLGA PTE 450,"0",BU
"01","135","012",1374.00074122,01 135 012,,RIO VOLGA PTE 460 DEL VALLE,"0",BU
"01","124","014",1101.6904088,01 124 014,DEL VALLE,RIO DANUBIO 400 Y BRAVO,"0",A
"01","124","018",390.57882343,01 124 018,DEL VALLE,RIO BRAVO SUR 200,"0",BU
"01","109","004",1574.06166877,01 109 004,,CALZ DEL VALLE PTE 366 DEL VALLE,"0",BU
"01","109","002",1550.53169616,01 109 002,DEL VALLE,CALZ DEL VALLE PTE 398,"0",BU
"01","136","017",3570.44568265,01 136 017,,RIO VOLGA 304,"1",HU
"01","136","063",1536.29438171,01 136 063,,,"0",HU
"01","136","058",637.594120483,01 136 058,DEL VALLE,SUCHIATE 302,"2",HU
"01","151","005",801.107363891,01 151 005,DEL VALLE,RIO NILO NTE 321 DEL VALLE,"2",HU
"05","055","003",1757.03316038,05 055 003,,NARANJO 400,"2",HU
"05","055","004",1704.11258444,05 055 004,,GRAL NARANJO 450,"2",HU
"05","055","001",1739.57317361,05 055 001,SAN PEDRO,16 DE SEPTIEMBRE 650,"2",HU
"05","055","002",545.763459982,05 055 002,,,"0",HU
"05","071","004",1797.07634386,05 071 004,SAN PEDRO,GENARO GARZA GARCIA 701,"2",HU
"05","071","001",1792.33596603,05 071 001,,NARANJO SUR 701 Y PUEBLA,"2",HU
"05","071","003",1739.04021441,05 071 003,,,"0",BU
"05","071","005",1688.49023265,05 071 005,,,"0",HU
"05","046","003",3524.87001581,05 046 003,,2 DE ABRIL,"2",HU
"05","046","001",3582.59438385,05 046 001,,GARZA GARCIA 790,"2",HU
"05","071","009",963.979496094,05 071 009,,GZA GARCIA Y NARANJO,"0",HU
"05","051","006",1431.76169589,05 051 006,,,"0",S
"05","051","005",1474.86614275,05 051 005,,,"0",HU
"05","051","002",1524.92104517,05 051 002,,,"0",HM
"05","042","001",1034.7868921,05 042 001,,,"0",BU
"05","042","003",1006.80108788,05 042 003,,,"0",BU
"05","042","004",1496.86031147,05 042 004,,,"0",BU
"13","225","002",942.837926577,13 225 002,,SIERRA ALTA L2 M225,"0",BU
"13","225","003",995.233925282,13 225 003,,SIERRA ALTA L3 M225 SIERRA DEL VALL,"0",BU
"13","221","018",524.981172864,13 221 018,SIERRA DEL VALLE,SIERRA NEVADA 113-F,"2",HU
"13","221","019",504.871114133,13 221 019,SIERRA DEL VALLE,SIERRA NEVADA 113-F,"2",HU
"13","221","015",188.53819814,13 221 015,,,"0",HU
"13","221","005",745.499642173,13 221 005,S DEL VALLE,,"2",HU
"13","221","016",97.0969556803,13 221 016,,,"0",BU
"28","012","013",505.80123076,28 012 013,COLONIAL DE LA SIERR,OLMOS 715,"2",HU
"28","012","014",477.748952916,28 012 014,COLONIAL DE LA SIERR,OLMOS 715,"2",HU
"28","013","016",409.569054936,28 013 016,COLINAS DE LA SIERRA,PINOS LOTE INTERIOR 365,"2",HU
"28","013","019",145.699373852,28 013 019,LA SIERRA,PINOS L19 M13,"2",HU
"28","013","008",997.495677596,28 013 008,COLONIAL DE LA SIERR,PINOS L 8 M 13,"3",HU
"13","224","006",1486.83009299,13 224 006,S DEL VALLE,S BAJA,"0",BU
"13","224","007",719.155313811,13 224 007,S DEL VALLE,S BAJA,"0",BU
"13","224","012",594.292961933,13 224 012,,,"0",HU
"01","027","004",446.438875795,01 027 004,DEL VALLE,AMAZONAS PTE 313,"2",HU
"01","027","021",252.040474706,01 027 021,DEL VALLE,AMAZONAS PTE 313,"1",HU
"01","027","010",703.409121175,01 027 010,DEL VALLE,RIO AMAZONAS PTE 303,"1",HU
"01","151","006",1496.82768656,01 151 006,DEL VALLE,RIO NILO PTE 321,"2",HU
"01","110","023",667.900030324,01 110 023,,,"0",HU
"01","110","021",836.664598913,01 110 021,DEL VALLE,CALZ DEL VALLE 258,"1",HU
"01","153","004",882.810236312,01 153 004,,RIO RHIN 120 DEL VALLE,"2",HU
"01","153","017",905.974046364,01 153 017,,,"0",HU
